url_length,hostname_length,path_length,num_dots,num_subdomains,num_hyphens,num_digits,num_special_chars,has_https,has_ip,has_at_symbol,has_punycode,has_encoded_chars,path_depth,suspicious_term_count,label
32,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0
24,16,0,1,0,1,0,0,1,0,0,0,0,0,0,0
30,22,0,2,1,0,0,0,1,0,0,0,0,0,0,0
27,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0
19,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,13,0,1,0,0,2,0,1,0,0,0,0,0,0,0
27,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,15,0,2,1,0,0,0,1,0,0,0,0,0,0,0
27,20,0,2,1,0,7,0,0,0,0,0,0,0,0,1
24,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34,26,0,3,2,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
37,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0
38,29,0,2,1,1,0,0,1,0,0,0,0,0,0,1
33,26,0,2,1,1,2,0,0,0,0,0,0,0,0,1
27,18,0,2,1,1,4,0,1,0,0,0,0,0,0,1
22,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0
92,7,51,1,0,0,0,0,1,0,1,0,0,2,0,1
40,32,0,2,1,2,12,0,0,0,0,0,0,0,0,1
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,26,0,2,1,0,2,0,1,0,0,0,0,0,0,1
24,16,0,2,1,0,0,0,1,0,0,0,0,0,0,0
33,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0
28,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,21,0,2,1,0,0,0,0,0,0,0,0,0,0,1
33,24,0,2,1,1,2,0,1,0,0,0,0,0,0,1
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0
42,33,0,2,1,3,3,0,1,0,0,0,0,0,0,1
140,23,10,1,0,0,0,0,1,0,0,0,0,3,0,1
28,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0
28,20,0,2,1,0,0,0,1,0,0,0,0,0,0,0
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,26,0,2,1,1,6,0,1,0,0,0,0,0,0,1
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,23,0,1,0,0,0,0,1,0,0,0,0,0,0,1
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
37,12,16,1,0,0,0,0,1,0,0,0,0,2,0,1
22,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31,22,0,2,1,1,1,0,1,0,0,0,0,0,0,1
31,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,28,0,2,1,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31,24,0,2,1,0,0,0,0,0,0,0,0,0,0,1
24,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,20,0,2,1,0,7,0,0,0,0,0,0,0,0,1
26,17,0,2,1,0,0,0,1,0,0,0,0,0,0,1
29,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,16,0,1,0,0,1,0,1,0,0,0,0,0,0,0
92,16,67,2,1,0,1,0,1,0,0,0,1,3,0,1
35,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
37,28,0,2,1,0,1,0,1,0,0,0,0,0,0,1
27,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,45,0,3,2,3,1,0,0,0,0,0,0,0,0,1
28,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34,25,0,2,1,1,6,0,1,0,0,0,0,0,0,1
23,15,0,2,1,0,0,0,1,0,0,0,0,0,0,0
20,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
64,25,11,2,1,0,1,0,0,0,0,0,0,1,0,1
55,47,0,3,2,4,18,0,1,0,0,0,0,0,0,1
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0
28,20,0,2,1,1,0,0,1,0,0,0,0,0,0,0
41,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0
55,46,0,3,2,3,0,0,1,0,0,0,0,0,0,1
43,34,0,2,1,2,6,0,1,0,0,0,0,0,0,1
19,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,20,0,2,1,0,7,0,0,0,0,0,0,0,0,1
46,37,0,2,1,0,19,0,1,0,0,0,0,0,0,1
31,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34,26,0,3,2,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
48,39,0,3,2,0,0,0,1,0,0,0,0,0,0,1
20,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21,13,0,2,1,0,0,0,1,0,0,0,0,0,0,0
25,17,0,2,1,0,0,0,1,0,0,0,0,0,0,0
21,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,17,0,2,1,0,0,0,1,0,0,0,0,0,0,1
29,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,24,0,1,0,2,0,0,1,0,0,0,0,0,0,0
36,27,0,2,1,2,1,0,1,0,0,0,0,0,0,1
71,39,23,5,4,1,1,0,1,0,0,0,0,3,0,1
22,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0
48,41,0,1,0,0,17,0,0,0,0,0,0,0,0,1
31,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,13,0,3,2,0,10,0,0,1,0,0,0,0,0,1
89,7,73,1,0,0,0,0,1,0,1,0,0,3,0,1
31,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,15,0,2,1,0,0,0,1,0,0,0,0,0,0,0
22,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,13,0,1,0,0,2,0,1,0,0,0,0,0,0,0
46,39,0,3,2,3,1,0,0,0,0,0,0,0,0,1
22,14,0,2,1,0,0,0,1,0,0,0,0,0,0,0
31,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18,10,0,1,0,0,3,0,1,0,0,0,0,0,0,0
24,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31,23,0,1,0,1,0,0,1,0,0,0,0,0,0,0
47,39,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,26,0,2,1,0,2,0,1,0,0,0,0,0,0,1
36,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0
36,28,0,1,0,2,0,0,1,0,0,0,0,0,0,0
45,28,9,2,1,2,0,0,0,0,0,0,0,1,0,1
31,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0
43,34,0,2,1,1,0,0,1,0,0,0,0,0,0,1
24,16,0,2,1,0,0,0,1,0,0,0,0,0,0,0
38,31,0,1,0,2,4,0,0,0,0,0,0,0,0,1
